Fondsposition per,"24.Feb.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"ACN","ACCENTURE PLC CLASS A","IT","Aktien","308.378.306,52","0,55","308.378.306,52","975.356,00","316,17","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LLY","ELI LILLY","Gesundheitsversorgung","Aktien","298.066.154,48","0,53","298.066.154,48","1.226.206,00","243,08","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WMT","WALMART INC","Nichtzyklische Konsumgüter","Aktien","295.471.602,25","0,53","295.471.602,25","2.196.325,00","134,53","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMD","ADVANCED MICRO DEVICES INC","IT","Aktien","294.363.170,79","0,52","294.363.170,79","2.524.339,00","116,61","Vereinigte Staaten","NASDAQ","USD"
"INTC","INTEL CORPORATION CORP","IT","Aktien","293.450.469,12","0,52","293.450.469,12","6.281.046,00","46,72","Vereinigte Staaten","NASDAQ","USD"
"QCOM","QUALCOMM INC","IT","Aktien","290.554.670,04","0,52","290.554.670,04","1.729.698,00","167,98","Vereinigte Staaten","NASDAQ","USD"
"MRK","MERCK & CO INC","Gesundheitsversorgung","Aktien","286.765.597,42","0,51","286.765.597,42","3.901.042,00","73,51","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MCD","MCDONALDS CORP","Zyklische Konsumgüter ","Aktien","282.778.831,74","0,50","282.778.831,74","1.154.058,00","245,03","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NKE","NIKE INC CLASS B","Zyklische Konsumgüter ","Aktien","270.702.388,77","0,48","270.702.388,77","1.973.481,00","137,17","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NFLX","NETFLIX INC","Kommunikation","Aktien","266.797.291,29","0,47","266.797.291,29","684.043,00","390,03","Vereinigte Staaten","NASDAQ","USD"
"DHR","DANAHER CORP","Gesundheitsversorgung","Aktien","266.704.778,76","0,47","266.704.778,76","982.121,00","271,56","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"T","AT&T INC","Kommunikation","Aktien","256.192.821,59","0,46","256.192.821,59","11.028.533,00","23,23","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PM","PHILIP MORRIS INTERNATIONAL INC","Nichtzyklische Konsumgüter","Aktien","247.156.190,83","0,44","247.156.190,83","2.404.477,00","102,79","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TXN","TEXAS INSTRUMENT INC","IT","Aktien","241.884.521,10","0,43","241.884.521,10","1.426.290,00","169,59","Vereinigte Staaten","NASDAQ","USD"
"UNP","UNION PACIFIC CORP","Industrie","Aktien","240.365.350,84","0,43","240.365.350,84","992.876,00","242,09","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrie","Aktien","233.304.020,41","0,41","233.304.020,41","1.126.039,00","207,19","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BMY","BRISTOL MYERS SQUIBB","Gesundheitsversorgung","Aktien","230.020.209,10","0,41","230.020.209,10","3.428.021,00","67,10","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NEE","NEXTERA ENERGY INC","Versorger","Aktien","228.605.379,36","0,41","228.605.379,36","3.030.294,00","75,44","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LOW","LOWES COMPANIES INC","Zyklische Konsumgüter ","Aktien","228.204.648,25","0,41","228.204.648,25","1.069.325,00","213,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LIN","LINDE PLC","Materialien","Aktien","225.788.781,75","0,40","225.788.781,75","791.547,00","285,25","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrie","Aktien","217.874.897,50","0,39","217.874.897,50","2.311.670,00","94,25","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"INTU","INTUIT INC","IT","Aktien","217.386.497,79","0,39","217.386.497,79","437.283,00","497,13","Vereinigte Staaten","NASDAQ","USD"
"MDT","MEDTRONIC PLC","Gesundheitsversorgung","Aktien","214.767.271,80","0,38","214.767.271,80","2.078.460,00","103,33","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CVS","CVS HEALTH CORP","Gesundheitsversorgung","Aktien","205.434.962,04","0,37","205.434.962,04","2.038.652,00","100,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MS","MORGAN STANLEY","Financials","Aktien","203.544.330,77","0,36","203.544.330,77","2.217.017,00","91,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrie","Aktien","193.857.141,42","0,34","193.857.141,42","1.063.163,00","182,34","Vereinigte Staaten","NASDAQ","USD"
"SCHW","CHARLES SCHWAB CORP","Financials","Aktien","191.021.725,76","0,34","191.021.725,76","2.321.888,00","82,27","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMGN","AMGEN INC","Gesundheitsversorgung","Aktien","190.762.268,76","0,34","190.762.268,76","869.988,00","219,27","Vereinigte Staaten","NASDAQ","USD"
"PYPL","PAYPAL HOLDINGS INC","IT","Aktien","190.569.292,00","0,34","190.569.292,00","1.814.600,00","105,02","Vereinigte Staaten","NASDAQ","USD"
"ORCL","ORACLE CORP","IT","Aktien","186.350.737,47","0,33","186.350.737,47","2.490.987,00","74,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMAT","APPLIED MATERIAL INC","IT","Aktien","186.054.590,26","0,33","186.054.590,26","1.394.503,00","133,42","Vereinigte Staaten","NASDAQ","USD"
"C","CITIGROUP INC","Financials","Aktien","185.932.133,49","0,33","185.932.133,49","3.064.647,00","60,67","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AXP","AMERICAN EXPRESS","Financials","Aktien","182.547.124,85","0,32","182.547.124,85","969.191,00","188,35","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"COP","CONOCOPHILLIPS","Energie","Aktien","178.761.894,01","0,32","178.761.894,01","2.037.637,00","87,73","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GS","GOLDMAN SACHS GROUP INC","Financials","Aktien","178.303.784,70","0,32","178.303.784,70","524.130,00","340,19","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOW","SERVICENOW INC","IT","Aktien","176.410.993,85","0,31","176.410.993,85","307.363,00","573,95","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BA","BOEING","Industrie","Aktien","169.133.199,51","0,30","169.133.199,51","852.357,00","198,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","IT","Aktien","168.942.964,43","0,30","168.942.964,43","1.385.119,00","121,97","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SBUX","STARBUCKS CORP","Zyklische Konsumgüter ","Aktien","165.853.529,66","0,29","165.853.529,66","1.822.366,00","91,01","Vereinigte Staaten","NASDAQ","USD"
"ANTM","ANTHEM INC","Gesundheitsversorgung","Aktien","165.672.564,66","0,29","165.672.564,66","374.986,00","441,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PLD","PROLOGIS REIT INC","Immobilien","Aktien","163.680.423,39","0,29","163.680.423,39","1.141.983,00","143,33","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMT","AMERICAN TOWER REIT CORP","Immobilien","Aktien","162.996.264,00","0,29","162.996.264,00","703.328,00","231,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BLK","BLACKROCK INC","Financials","Aktien","161.392.625,55","0,29","161.392.625,55","220.545,00","731,79","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ISRG","INTUITIVE SURGICAL INC","Gesundheitsversorgung","Aktien","158.963.995,78","0,28","158.963.995,78","551.231,00","288,38","Vereinigte Staaten","NASDAQ","USD"
"GE","GENERAL ELECTRIC","Industrie","Aktien","156.949.135,56","0,28","156.949.135,56","1.696.014,00","92,54","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CAT","CATERPILLAR INC","Industrie","Aktien","154.162.405,21","0,27","154.162.405,21","834.709,00","184,69","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MU","MICRON TECHNOLOGY INC","IT","Aktien","153.469.370,25","0,27","153.469.370,25","1.727.675,00","88,83","Vereinigte Staaten","NASDAQ","USD"
"LMT","LOCKHEED MARTIN CORP","Industrie","Aktien","150.030.676,53","0,27","150.030.676,53","379.143,00","395,71","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DE","DEERE","Industrie","Aktien","149.210.283,20","0,27","149.210.283,20","435.320,00","342,76","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BKNG","BOOKING HOLDINGS INC","Zyklische Konsumgüter ","Aktien","145.418.085,00","0,26","145.418.085,00","63.363,00","2.295,00","Vereinigte Staaten","NASDAQ","USD"
"TGT","TARGET CORP","Zyklische Konsumgüter ","Aktien","144.401.116,80","0,26","144.401.116,80","753.856,00","191,55","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SPGI","S&P GLOBAL INC","Financials","Aktien","142.116.257,92","0,25","142.116.257,92","372.344,00","381,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MO","ALTRIA GROUP INC","Nichtzyklische Konsumgüter","Aktien","140.597.869,50","0,25","140.597.869,50","2.836.350,00","49,57","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ZTS","ZOETIS INC CLASS A","Gesundheitsversorgung","Aktien","139.478.472,75","0,25","139.478.472,75","730.445,00","190,95","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
