Fondsposition per,"03.Feb.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"CMCSA","COMCAST CORP CLASS A","Kommunikation","Aktien","178.983.026,44","0,38","178.983.026,44","3.605.621,00","49,64","Vereinigte Staaten","NASDAQ","USD"
"VZ","VERIZON COMMUNICATIONS INC","Kommunikation","Aktien","175.551.034,23","0,37","175.551.034,23","3.263.637,00","53,79","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WMT","WALMART INC","Nichtzyklische Konsumgüter","Aktien","174.093.606,06","0,37","174.093.606,06","1.234.794,00","140,99","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ACN","ACCENTURE PLC CLASS A","IT","Aktien","172.022.392,10","0,37","172.022.392,10","497.822,00","345,55","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"7203","TOYOTA MOTOR CORP","Zyklische Konsumgüter ","Aktien","166.610.363,81","0,36","166.610.363,81","8.346.500,00","19,96","Japan","Tokyo Stock Exchange","JPY"
"SHEL","SHELL PLC","Energie","Aktien","164.159.511,78","0,35","164.159.511,78","6.153.468,00","26,68","Vereinigtes Königreich","London Stock Exchange","GBP"
"CRM","SALESFORCE.COM INC","IT","Aktien","163.989.711,49","0,35","163.989.711,49","770.737,00","212,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"QCOM","QUALCOMM INC","IT","Aktien","161.485.515,00","0,34","161.485.515,00","901.650,00","179,10","Vereinigte Staaten","NASDAQ","USD"
"MRK","MERCK & CO INC","Gesundheitsversorgung","Aktien","158.715.999,09","0,34","158.715.999,09","2.008.809,00","79,01","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LLY","ELI LILLY","Gesundheitsversorgung","Aktien","157.744.057,93","0,34","157.744.057,93","644.353,00","244,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MCD","MCDONALDS CORP","Zyklische Konsumgüter ","Aktien","154.581.153,12","0,33","154.581.153,12","593.083,00","260,64","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOVN","NOVARTIS AG","Gesundheitsversorgung","Aktien","153.000.016,37","0,33","153.000.016,37","1.768.798,00","86,50","Schweiz","SIX Swiss Exchange","CHF"
"INTC","INTEL CORPORATION CORP","IT","Aktien","152.544.184,44","0,33","152.544.184,44","3.159.573,00","48,28","Vereinigte Staaten","NASDAQ","USD"
"DHR","DANAHER CORP","Gesundheitsversorgung","Aktien","147.837.575,13","0,32","147.837.575,13","509.943,00","289,91","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NKE","NIKE INC CLASS B","Zyklische Konsumgüter ","Aktien","146.616.336,90","0,31","146.616.336,90","1.008.990,00","145,31","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NFLX","NETFLIX INC","Kommunikation","Aktien","142.555.015,20","0,30","142.555.015,20","351.467,00","405,60","Vereinigte Staaten","NASDAQ","USD"
"AZN","ASTRAZENECA PLC","Gesundheitsversorgung","Aktien","142.045.866,61","0,30","142.045.866,61","1.248.637,00","113,76","Vereinigtes Königreich","London Stock Exchange","GBP"
"T","AT&T INC","Kommunikation","Aktien","138.957.262,64","0,30","138.957.262,64","5.657.869,00","24,56","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOVO B","NOVO NORDISK CLASS B","Gesundheitsversorgung","Aktien","138.407.792,95","0,30","138.407.792,95","1.324.589,00","104,49","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"RY","ROYAL BANK OF CANADA","Financials","Aktien","131.615.921,65","0,28","131.615.921,65","1.141.914,00","115,26","Kanada","Toronto Stock Exchange","CAD"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrie","Aktien","130.618.123,02","0,28","130.618.123,02","571.158,00","228,69","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LOW","LOWES COMPANIES INC","Zyklische Konsumgüter ","Aktien","130.355.491,43","0,28","130.355.491,43","556.813,00","234,11","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
