Fondsposition per,"24.Feb.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"AAL","ANGLO AMERICAN PLC","Materialien","Aktien","34.831.575,37","0,55","34.831.575,37","811.075,00","42,94","Vereinigtes Königreich","London Stock Exchange","GBP"
"REL","RELX PLC","Industrie","Aktien","33.800.188,65","0,53","33.800.188,65","1.283.791,00","26,33","Vereinigtes Königreich","London Stock Exchange","GBP"
"SAN","BANCO SANTANDER SA","Financials","Aktien","33.544.600,55","0,53","33.544.600,55","11.224.561,00","2,99","Spanien","Bolsa De Madrid","EUR"
"CS","AXA SA","Financials","Aktien","32.670.427,68","0,52","32.670.427,68","1.331.856,00","24,53","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ADYEN","ADYEN NV","IT","Aktien","32.488.213,80","0,51","32.488.213,80","18.003,00","1.804,60","Niederlande","Euronext Amsterdam","EUR"
"BAYN","BAYER AG","Gesundheitsversorgung","Aktien","32.174.414,80","0,51","32.174.414,80","635.858,00","50,60","Deutschland","Xetra","EUR"
"ABBN","ABB LTD","Industrie","Aktien","31.505.052,43","0,50","31.505.052,43","1.084.977,00","29,04","Schweiz","SIX Swiss Exchange","CHF"
"ABI","ANHEUSER BUSCH INBEV SA","Nichtzyklische Konsumgüter","Aktien","31.326.740,98","0,49","31.326.740,98","576.071,00","54,38","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"ENEL","ENEL","Versorger","Aktien","31.239.457,34","0,49","31.239.457,34","5.045.132,00","6,19","Italien","Borsa Italiana","EUR"
"EL","ESSILORLUXOTTICA SA","Zyklische Konsumgüter ","Aktien","30.609.384,00","0,48","30.609.384,00","194.025,00","157,76","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"PRX","PROSUS NV","Zyklische Konsumgüter ","Aktien","30.209.433,26","0,48","30.209.433,26","563.714,00","53,59","Niederlande","Euronext Amsterdam","EUR"
"NG.","NATIONAL GRID PLC","Versorger","Aktien","29.434.411,23","0,46","29.434.411,23","2.340.878,00","12,57","Vereinigtes Königreich","London Stock Exchange","GBP"
"KER","KERING SA","Zyklische Konsumgüter ","Aktien","29.133.895,00","0,46","29.133.895,00","46.975,00","620,20","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"LONN","LONZA GROUP AG","Gesundheitsversorgung","Aktien","28.550.067,63","0,45","28.550.067,63","48.227,00","591,99","Schweiz","SIX Swiss Exchange","CHF"
"ISP","INTESA SANPAOLO","Financials","Aktien","28.518.064,92","0,45","28.518.064,92","11.823.410,00","2,41","Italien","Borsa Italiana","EUR"
"INGA","ING GROEP NV","Financials","Aktien","28.116.107,60","0,44","28.116.107,60","2.521.624,00","11,15","Niederlande","Euronext Amsterdam","EUR"
"DPW","DEUTSCHE POST AG","Industrie","Aktien","27.911.590,35","0,44","27.911.590,35","638.490,00","43,72","Deutschland","Xetra","EUR"
"RMS","HERMES INTERNATIONAL","Zyklische Konsumgüter ","Aktien","27.458.475,00","0,43","27.458.475,00","22.825,00","1.203,00","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"VOD","VODAFONE GROUP PLC","Kommunikation","Aktien","27.447.639,91","0,43","27.447.639,91","17.660.968,00","1,55","Vereinigtes Königreich","London Stock Exchange","GBP"
"SAF","SAFRAN SA","Industrie","Aktien","26.562.332,00","0,42","26.562.332,00","245.720,00","108,10","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"LLOY","LLOYDS BANKING GROUP PLC","Financials","Aktien","25.541.425,78","0,40","25.541.425,78","45.936.605,00","0,56","Vereinigtes Königreich","London Stock Exchange","GBP"
"ADS","ADIDAS N AG","Zyklische Konsumgüter ","Aktien","25.398.729,00","0,40","25.398.729,00","120.860,00","210,15","Deutschland","Xetra","EUR"
"IFX","INFINEON TECHNOLOGIES AG","IT","Aktien","25.225.278,90","0,40","25.225.278,90","846.060,00","29,82","Deutschland","Xetra","EUR"
"RI","PERNOD RICARD SA","Nichtzyklische Konsumgüter","Aktien","24.993.712,80","0,39","24.993.712,80","132.804,00","188,20","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SIKA","SIKA AG","Materialien","Aktien","24.600.798,75","0,39","24.600.798,75","86.896,00","283,11","Schweiz","SIX Swiss Exchange","CHF"
"NDA FI","NORDEA BANK","Financials","Aktien","23.786.103,78","0,38","23.786.103,78","2.433.361,00","9,78","Schweden","Nasdaq Omx Helsinki Ltd.","EUR"
"PRU","PRUDENTIAL PLC","Financials","Aktien","23.676.468,65","0,37","23.676.468,65","1.776.782,00","13,33","Vereinigtes Königreich","London Stock Exchange","GBP"
"STLA","STELLANTIS NV","Zyklische Konsumgüter ","Aktien","23.471.226,59","0,37","23.471.226,59","1.463.841,00","16,03","Italien","Borsa Italiana","EUR"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Aktien","22.872.661,89","0,36","22.872.661,89","4.316.411,00","5,30","Spanien","Bolsa De Madrid","EUR"
"BN","DANONE SA","Nichtzyklische Konsumgüter","Aktien","22.735.105,55","0,36","22.735.105,55","420.631,00","54,05","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"CPG","COMPASS GROUP PLC","Zyklische Konsumgüter ","Aktien","22.537.700,40","0,36","22.537.700,40","1.154.634,00","19,52","Vereinigtes Königreich","London Stock Exchange","GBP"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Aktien","22.099.251,00","0,35","22.099.251,00","90.645,00","243,80","Deutschland","Xetra","EUR"
"ENI","ENI","Energie","Aktien","21.701.224,20","0,34","21.701.224,20","1.624.100,00","13,36","Italien","Borsa Italiana","EUR"
"BARC","BARCLAYS PLC","Financials","Aktien","21.633.596,18","0,34","21.633.596,18","10.094.692,00","2,14","Vereinigtes Königreich","London Stock Exchange","GBP"
"ALC","ALCON AG","Gesundheitsversorgung","Aktien","21.000.583,86","0,33","21.000.583,86","314.938,00","66,68","Schweiz","SIX Swiss Exchange","CHF"
"EXPN","EXPERIAN PLC","Industrie","Aktien","20.978.526,99","0,33","20.978.526,99","627.645,00","33,42","Vereinigtes Königreich","London Stock Exchange","GBP"
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Zyklische Konsumgüter ","Aktien","20.862.567,00","0,33","20.862.567,00","118.470,00","176,10","Deutschland","Xetra","EUR"
"INVE B","INVESTOR CLASS B","Financials","Aktien","20.625.472,72","0,33","20.625.472,72","1.177.892,00","17,51","Schweden","Nasdaq Omx Nordic","SEK"
"EUR","EUR CASH","Cash und/oder Derivate","Geldmarkt","20.443.835,64","0,32","20.443.835,64","20.443.836,00","100,00","Europäische Union","-","EUR"
