Fondsposition per,"01.Mär.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"LLY","ELI LILLY","Gesundheitsversorgung","Aktien","305.938.397,00","0,54","305.938.397,00","1.226.206,00","249,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ACN","ACCENTURE PLC CLASS A","IT","Aktien","303.677.090,60","0,54","303.677.090,60","975.356,00","311,35","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WMT","WALMART INC","Nichtzyklische Konsumgüter","Aktien","298.678.236,75","0,53","298.678.236,75","2.196.325,00","135,99","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MRK","MERCK & CO INC","Gesundheitsversorgung","Aktien","297.805.546,28","0,53","297.805.546,28","3.901.042,00","76,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"INTC","INTEL CORPORATION CORP","IT","Aktien","294.078.573,72","0,52","294.078.573,72","6.281.046,00","46,82","Vereinigte Staaten","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES INC","IT","Aktien","287.345.508,37","0,51","287.345.508,37","2.524.339,00","113,83","Vereinigte Staaten","NASDAQ","USD"
"QCOM","QUALCOMM INC","IT","Aktien","283.134.265,62","0,50","283.134.265,62","1.729.698,00","163,69","Vereinigte Staaten","NASDAQ","USD"
"MCD","MCDONALDS CORP","Zyklische Konsumgüter ","Aktien","276.546.918,54","0,49","276.546.918,54","1.154.058,00","239,63","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DHR","DANAHER CORP","Gesundheitsversorgung","Aktien","267.166.375,63","0,47","267.166.375,63","982.121,00","272,03","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NFLX","NETFLIX INC","Kommunikation","Aktien","264.204.768,32","0,47","264.204.768,32","684.043,00","386,24","Vereinigte Staaten","NASDAQ","USD"
"NKE","NIKE INC CLASS B","Zyklische Konsumgüter ","Aktien","260.933.657,82","0,46","260.933.657,82","1.973.481,00","132,22","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"T","AT&T INC","Kommunikation","Aktien","259.501.381,49","0,46","259.501.381,49","11.028.533,00","23,53","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PM","PHILIP MORRIS INTERNATIONAL INC","Nichtzyklische Konsumgüter","Aktien","243.910.146,88","0,43","243.910.146,88","2.404.477,00","101,44","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UNP","UNION PACIFIC CORP","Industrie","Aktien","240.702.928,68","0,43","240.702.928,68","992.876,00","242,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TXN","TEXAS INSTRUMENT INC","IT","Aktien","238.604.054,10","0,42","238.604.054,10","1.426.290,00","167,29","Vereinigte Staaten","NASDAQ","USD"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrie","Aktien","237.477.859,10","0,42","237.477.859,10","2.311.670,00","102,73","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LOW","LOWES COMPANIES INC","Zyklische Konsumgüter ","Aktien","236.855.487,50","0,42","236.855.487,50","1.069.325,00","221,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BMY","BRISTOL MYERS SQUIBB","Gesundheitsversorgung","Aktien","235.265.081,23","0,42","235.265.081,23","3.428.021,00","68,63","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NEE","NEXTERA ENERGY INC","Versorger","Aktien","234.665.967,36","0,42","234.665.967,36","3.030.294,00","77,44","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrie","Aktien","231.491.097,62","0,41","231.491.097,62","1.126.039,00","205,58","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LIN","LINDE PLC","Materialien","Aktien","223.659.520,32","0,40","223.659.520,32","791.547,00","282,56","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MDT","MEDTRONIC PLC","Gesundheitsversorgung","Aktien","215.453.163,60","0,38","215.453.163,60","2.078.460,00","103,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SPGI","S&P GLOBAL INC","Financials","Aktien","213.646.088,26","0,38","213.646.088,26","546.997,00","390,58","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CVS","CVS HEALTH CORP","Gesundheitsversorgung","Aktien","208.044.436,60","0,37","208.044.436,60","2.038.652,00","102,05","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"INTU","INTUIT INC","IT","Aktien","204.902.068,14","0,36","204.902.068,14","437.283,00","468,58","Vereinigte Staaten","NASDAQ","USD"
